ID,Time,
1TOTUF0X1GBP0ODAF9,11:32:00,FALSE
1TOTUU2X1GCCSM9AF2,10:40:00,0:50:00
1TOTUU2X1GCCSM9AF2,11:30:00,FALSE
1TOU0J1X1G1BAL4AFW,10:38:00,FALSE
1TOU2GPX1G8ERITAFL,10:52:00,0:51:00
1TOU2GPX1G8ERITAFL,11:43:00,FALSE
1TOU2ISX1G7NLICVFN,10:52:00,0:40:00
1TOU2ISX1G7NLICVFN,11:32:00,FALSE
1TOU4PFX1GASLGCAFJ,10:40:36,0:34:52
1TOU4PFX1GASLGCAFJ,11:15:28,FALSE
1TOU54IX1G1IAK3AM0,12:45:22,23:24:38
1TOU54IX1G1IAK3AM0,12:10:00,FALSE
1TOU5HKX161A8PCAFR,11:49:00,0:20:00
1TOU5HKX161A8PCAFR,12:09:00,FALSE
1TOU96GX1FTUFN5AN2,11:40:00,0:46:00
1TOU96GX1FTUFN5AN2,12:26:00,FALSE
1TOUBJTX1G85E79AAX,12:22:56,0:04:22
1TOUBJTX1G85E79AAX,12:27:18,FALSE
1TOUCILX1CPD238ANI,11:34:31,0:09:29
1TOUCILX1CPD238ANI,11:44:00,FALSE
1TOUCIOX1FS6S9NAF4,11:38:16,0:56:08
1TOUCIOX1FS6S9NAF4,12:34:24,FALSE
1TOUE3LX165B40UAS6,10:42:00,0:59:00
1TOUE3LX165B40UAS6,11:41:00,FALSE
1TOUG8HX15582UUAFA,11:26:00,0:41:00
1TOUG8HX15582UUAFA,12:07:00,FALSE
1TOUGNCX1G8RS78AF8,11:55:00,0:23:26
1TOUGNCX1G8RS78AF8,12:18:26,FALSE
